#options: 960x540 fps=24000/1001 timebase=1001/24000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=23 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=260 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:33 out:34 type:b dur:2 cpbdur:2 q:44.01 aq:45.00 tex:37 mv:614 misc:485 imb:3 pmb:77 smb:1960 d:- ref:0 ;
in:38 out:35 type:P dur:2 cpbdur:2 q:42.15 aq:35.16 tex:6592 mv:4972 misc:1852 imb:121 pmb:592 smb:1327 d:s ref:0 ;
in:36 out:36 type:B dur:2 cpbdur:2 q:42.86 aq:37.62 tex:129 mv:657 misc:534 imb:7 pmb:71 smb:1962 d:s ref:0 ;
in:35 out:37 type:b dur:2 cpbdur:2 q:43.21 aq:44.29 tex:48 mv:782 misc:650 imb:1 pmb:122 smb:1917 d:s ref:0 ;
in:37 out:38 type:b dur:2 cpbdur:2 q:42.51 aq:42.25 tex:54 mv:786 misc:552 imb:3 pmb:101 smb:1936 d:- ref:0 ;
in:42 out:39 type:P dur:2 cpbdur:2 q:41.12 aq:34.58 tex:11393 mv:5493 misc:2050 imb:166 pmb:696 smb:1178 d:s ref:0 ;
in:40 out:40 type:B dur:2 cpbdur:2 q:41.64 aq:38.64 tex:130 mv:1020 misc:914 imb:5 pmb:216 smb:1819 d:s ref:0 ;
in:39 out:41 type:b dur:2 cpbdur:2 q:41.90 aq:40.00 tex:39 mv:1235 misc:790 imb:9 pmb:163 smb:1868 d:s ref:0 ;
in:41 out:42 type:b dur:2 cpbdur:2 q:41.38 aq:37.49 tex:35 mv:842 misc:619 imb:4 pmb:121 smb:1915 d:- ref:0 ;
in:46 out:43 type:P dur:2 cpbdur:2 q:40.46 aq:33.57 tex:11351 mv:5687 misc:1986 imb:182 pmb:724 smb:1134 d:s ref:0 ;
in:44 out:44 type:B dur:2 cpbdur:2 q:40.79 aq:39.81 tex:157 mv:1200 misc:1163 imb:5 pmb:288 smb:1747 d:s ref:0 ;
in:43 out:45 type:b dur:2 cpbdur:2 q:40.96 aq:39.00 tex:30 mv:1255 misc:755 imb:5 pmb:156 smb:1879 d:s ref:0 ;
in:45 out:46 type:b dur:2 cpbdur:2 q:40.63 aq:41.18 tex:120 mv:1076 misc:644 imb:6 pmb:134 smb:1900 d:- ref:0 ;
in:50 out:47 type:P dur:2 cpbdur:2 q:39.71 aq:33.46 tex:14125 mv:5552 misc:2019 imb:149 pmb:786 smb:1105 d:s ref:0 ;
in:48 out:48 type:B dur:2 cpbdur:2 q:40.08 aq:37.04 tex:142 mv:1100 misc:878 imb:1 pmb:190 smb:1849 d:s ref:0 ;
in:47 out:49 type:b dur:2 cpbdur:2 q:40.27 aq:36.32 tex:74 mv:1150 misc:768 imb:3 pmb:157 smb:1880 d:s ref:0 ;
in:49 out:50 type:b dur:2 cpbdur:2 q:39.90 aq:40.24 tex:84 mv:977 misc:667 imb:9 pmb:148 smb:1883 d:- ref:0 ;
in:54 out:51 type:P dur:2 cpbdur:2 q:39.16 aq:32.75 tex:12604 mv:5163 misc:2025 imb:148 pmb:722 smb:1170 d:s ref:0 ;
in:52 out:52 type:B dur:2 cpbdur:2 q:39.44 aq:34.74 tex:140 mv:1193 misc:1083 imb:4 pmb:258 smb:1778 d:s ref:0 ;
in:51 out:53 type:b dur:2 cpbdur:2 q:39.57 aq:39.47 tex:91 mv:1390 misc:903 imb:3 pmb:211 smb:1826 d:s ref:0 ;
in:53 out:54 type:b dur:2 cpbdur:2 q:39.30 aq:37.00 tex:32 mv:999 misc:673 imb:4 pmb:138 smb:1898 d:- ref:0 ;
in:58 out:55 type:P dur:2 cpbdur:2 q:38.64 aq:32.28 tex:15510 mv:5896 misc:2018 imb:188 pmb:834 smb:1018 d:s ref:0 ;
in:56 out:56 type:B dur:2 cpbdur:2 q:38.90 aq:34.71 tex:75 mv:962 misc:899 imb:1 pmb:212 smb:1827 d:s ref:0 ;
in:55 out:57 type:b dur:2 cpbdur:2 q:39.03 aq:41.40 tex:55 mv:1330 misc:783 imb:2 pmb:174 smb:1864 d:s ref:0 ;
in:57 out:58 type:b dur:2 cpbdur:2 q:38.77 aq:37.00 tex:62 mv:1290 misc:808 imb:3 pmb:194 smb:1843 d:- ref:0 ;
in:62 out:59 type:P dur:2 cpbdur:2 q:38.41 aq:32.95 tex:17078 mv:5587 misc:1959 imb:187 pmb:812 smb:1041 d:s ref:0 ;
in:60 out:60 type:B dur:2 cpbdur:2 q:38.53 aq:33.99 tex:131 mv:1114 misc:947 imb:3 pmb:223 smb:1814 d:s ref:0 ;
in:59 out:61 type:b dur:2 cpbdur:2 q:38.59 aq:35.11 tex:132 mv:1498 misc:874 imb:5 pmb:190 smb:1845 d:s ref:0 ;
in:61 out:62 type:b dur:2 cpbdur:2 q:38.47 aq:35.99 tex:79 mv:1046 misc:747 imb:3 pmb:166 smb:1871 d:- ref:0 ;
in:66 out:63 type:P dur:2 cpbdur:2 q:38.03 aq:32.56 tex:12062 mv:4972 misc:2006 imb:143 pmb:727 smb:1170 d:s ref:0 ;
in:64 out:64 type:B dur:2 cpbdur:2 q:38.22 aq:34.72 tex:187 mv:976 misc:965 imb:4 pmb:201 smb:1835 d:s ref:0 ;
in:63 out:65 type:b dur:2 cpbdur:2 q:38.32 aq:38.34 tex:117 mv:1054 misc:869 imb:5 pmb:194 smb:1841 d:s ref:0 ;
in:65 out:66 type:b dur:2 cpbdur:2 q:38.12 aq:39.68 tex:82 mv:1069 misc:721 imb:7 pmb:152 smb:1881 d:- ref:0 ;
in:70 out:67 type:P dur:2 cpbdur:2 q:37.67 aq:33.39 tex:7242 mv:4272 misc:1934 imb:113 pmb:554 smb:1373 d:s ref:0 ;
in:68 out:68 type:B dur:2 cpbdur:2 q:37.85 aq:35.89 tex:297 mv:1116 misc:899 imb:5 pmb:184 smb:1851 d:s ref:0 ;
in:67 out:69 type:b dur:2 cpbdur:2 q:37.94 aq:36.00 tex:45 mv:1226 misc:777 imb:2 pmb:186 smb:1852 d:s ref:0 ;
